"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"23";"Aetobatus_narinari";"MYLIOBATIDAE";"Aetobatus";"narinari";"Raie aigle";NA;NA;"660,543";NA;"";NA;NA;NA;1;1;0;"153.8";NA;NA;"330";NA;NA;"WD";NA;NA;NA;NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"24";"Alectis_ciliaris";"CARANGIDAE";"Alectis";"ciliaris";"Cordonnier fil ou Carangue à plume";NA;NA;"";NA;"";NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;"0.0412";"2.85";"Espece";NA;"https://www.fishbase.se/summary/Alectes-ciliaris.html ; Reyes, Rodolfo B. - 2011-07-15";NA;NA;NA;NA;NA;NA
"25";"Aluterus_scriptus";"MONACANTHIDAE";"Aluterus";"scriptus";"Poisson lime gribouillé";NA;NA;"529";NA;"";NA;NA;NA;1;1;0;"58.3";NA;NA;"110";NA;NA;"TL";NA;"0.823";"1.814";NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"26";"Amanses_scopas";"MONACANTHIDAE";"Amanses";"scopas";"Poisson lime balai";NA;NA;"530";NA;"";NA;NA;NA;1;1;0;"12.9";NA;NA;"20";NA;NA;"TL";NA;NA;NA;NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"27";"Amblyeleotris_aurora";"GOBIIDAE";"Amblyeleotris";"aurora";"gobie magnifique";NA;NA;"794";NA;"";NA;NA;NA;0;0;0;"7.6";NA;NA;"11";NA;NA;"TL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"28";"Amblyeleotris_cf._sungami";"GOBIIDAE";"Amblyeleotris";"cf._sungami";"";NA;NA;"795";NA;"";NA;NA;NA;0;0;0;"7";NA;NA;"10";NA;NA;"TL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"29";"Amblyeleotris_steinitzi";"GOBIIDAE";"Amblyeleotris";"steinitzi";"gobie de steinitzi";NA;NA;"796";NA;"";NA;NA;NA;0;0;0;"8.8";NA;NA;"13";NA;NA;"SL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"30";"Amblyeleotris_wheeleri";"GOBIIDAE";"Amblyeleotris";"wheeleri";"gobie splendide";NA;NA;"797";NA;"";NA;NA;NA;0;0;0;"7";NA;NA;"10";NA;NA;"SL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"31";"Amblyglyphidodon_indicus";"POMACENTRIDAE";"Amblyglyphidodon";"indicus";"demoiselle gris bleu";NA;NA;"561,198";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;"13";NA;NA;NA;NA;"0.0297";"2.936";NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"Amblyglyphidodon_leucogaster";"POMACENTRIDAE";"Amblyglyphidodon";"leucogaster";"Demoiselle à ventre jaune";NA;NA;"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
