"ID";"RUV_treatment_code";"Field_code";"Analyzed_video_name";"Table_ref";"Species";"First_fish";"Last_fish";"Total_number";"Remark"
"75";75;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Chromis";35506;35506;40;""
"76";76;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Pseudanthias";36028;36028;20;""
"77";77;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";35509;35509;80;""
"78";78;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Chromis_fieldi";35508;35508;20;""
"79";79;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Chromis";35510;35511;40;""
"80";80;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";35516;35516;50;""
"81";81;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Chromis_fieldi";35514;35514;10;""
"82";82;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Chromis";35517;35517;40;""
"83";83;829;"ES31";"ES31_Left_sd22.R.1.MP4";"RUV_data";"Chromis_pembae";35531;35531;30;""
"84";84;829;"ES31";"ES31_Left_sd22.R.1.MP4";"RUV_data";"Chromis";35535;35535;20;""
"85";85;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Chromis_pembae";35630;35630;10;""
"86";86;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Acanthurus_thompsoni";35627;35627;10;""
"87";87;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Chromis_fieldi";35624;35624;10;""
"88";88;831;"ES31";"ES31_Left_sd22.R.2.MP4";"RUV_data";"Chromis_fieldi";35540;35540;30;""
"89";89;831;"ES31";"ES31_Left_sd22.R.2.MP4";"RUV_data";"Chromis";35542;35542;20;""
"90";90;832;"ES31";"ES31_Left_sd22.R.3.MP4";"RUV_data";"Chromis_fieldi";36030;36030;30;""
"91";91;832;"ES31";"ES31_Left_sd22.R.3.MP4";"RUV_data";"Chromis";35548;35549;20;""
"92";92;832;"ES31";"ES31_Left_sd22.R.3.MP4";"RUV_data";"Chromis_pembae";35543;35543;10;""
"93";93;833;"ES31";"ES31_Left_sd22.R.4.MP4";"RUV_data";"Chromis";35554;35555;10;""
"94";94;833;"ES31";"ES31_Left_sd22.R.4.MP4";"RUV_data";"Chromis_pembae";35553;35553;30;""
"95";95;834;"ES31";"ES31_Left_sd22.R.5.MP4";"RUV_data";"Chromis";36032;36032;10;""
"96";96;834;"ES31";"ES31_Left_sd22.R.5.MP4";"RUV_data";"Chromis_pembae";36031;36031;30;""
"97";97;835;"ES31";"ES31_Left_sd22.R.6.MP4";"RUV_data";"Chromis_pembae";35572;36033;20;""
"98";98;835;"ES31";"ES31_Left_sd22.R.6.MP4";"RUV_data";"Chromis";35571;35571;10;""
"99";99;835;"ES31";"ES31_Left_sd22.R.6.MP4";"RUV_data";"Chromis_fieldi";36034;36034;10;""
"100";100;836;"ES31";"ES31_Left_sd22.R.7.MP4";"RUV_data";"Chromis_pembae";35586;35586;20;""
"101";101;836;"ES31";"ES31_Left_sd22.R.7.MP4";"RUV_data";"Acanthurus_thompsoni";35580;35584;30;""
"102";102;836;"ES31";"ES31_Left_sd22.R.7.MP4";"RUV_data";"Chromis_fieldi";35596;35596;10;""
"103";103;838;"ES31";"ES31_Left_sd22.R.9.MP4";"RUV_data";"Chromis_fieldi";35615;35615;20;""
"104";104;849;"ES34";"ES34_Left_sd3.R.1.MP4";"RUV_data";"Chromis";35678;35678;100;""
"105";105;849;"ES34";"ES34_Left_sd3.R.1.MP4";"RUV_data";"Pseudanthias_squamipinnis";35679;35679;50;""
"106";106;850;"ES34";"ES34_Left_sd3.R.10.MP4";"RUV_data";"Chromis";35708;35708;40;""
"107";107;850;"ES34";"ES34_Left_sd3.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";35710;35710;20;""
"108";108;851;"ES34";"ES34_Left_sd3.R.2.MP4";"RUV_data";"Chromis";35683;35683;100;""
"109";109;851;"ES34";"ES34_Left_sd3.R.2.MP4";"RUV_data";"Pseudanthias_squamipinnis";35684;35684;50;""
"110";110;852;"ES34";"ES34_Left_sd3.R.3.MP4";"RUV_data";"Chromis";35686;35686;60;""
"111";111;853;"ES34";"ES34_Left_sd3.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";35692;35692;10;""
"112";112;853;"ES34";"ES34_Left_sd3.R.4.MP4";"RUV_data";"Chromis";31134;35693;30;""
"113";113;854;"ES34";"ES34_Left_sd3.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";35696;35696;20;""
"114";114;854;"ES34";"ES34_Left_sd3.R.5.MP4";"RUV_data";"Chromis";31138;31140;30;""
"115";115;855;"ES34";"ES34_Left_sd3.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";31142;35700;20;""
"116";116;855;"ES34";"ES34_Left_sd3.R.6.MP4";"RUV_data";"Chromis";35699;35699;30;""
"117";117;856;"ES34";"ES34_Left_sd3.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";35702;35702;20;""
"118";118;856;"ES34";"ES34_Left_sd3.R.7.MP4";"RUV_data";"Chromis";35701;35701;60;""
"119";119;857;"ES34";"ES34_Left_sd3.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";35704;35704;40;""
"120";120;857;"ES34";"ES34_Left_sd3.R.8.MP4";"RUV_data";"Chromis";31144;31144;50;""
"121";121;858;"ES34";"ES34_Left_sd3.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";35706;35706;40;""
"122";122;858;"ES34";"ES34_Left_sd3.R.9.MP4";"RUV_data";"Chromis";35705;35705;50;""
"123";123;859;"ES35";"ES35_Left_sd5.R.1.MP4";"RUV_data";"Pseudanthias_squamipinnis";31146;31146;10;""
"124";124;859;"ES35";"ES35_Left_sd5.R.1.MP4";"RUV_data";"Pseudanthias";35711;35711;5;""
"125";125;860;"ES35";"ES35_Left_sd5.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";35745;35745;30;""
"126";126;860;"ES35";"ES35_Left_sd5.R.10.MP4";"RUV_data";"Pseudanthias";36036;36036;10;""
"127";127;860;"ES35";"ES35_Left_sd5.R.10.MP4";"RUV_data";"Chromis_fieldi";36037;36037;20;""
"128";128;861;"ES35";"ES35_Left_sd5.R.2.MP4";"RUV_data";"Pseudanthias_squamipinnis";35717;35717;80;""
"129";129;861;"ES35";"ES35_Left_sd5.R.2.MP4";"RUV_data";"Pseudanthias";36035;36035;5;""
"130";130;861;"ES35";"ES35_Left_sd5.R.2.MP4";"RUV_data";"Chromis_fieldi";35719;35719;60;""
"131";131;862;"ES35";"ES35_Left_sd5.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";35722;35722;100;""
"132";132;862;"ES35";"ES35_Left_sd5.R.3.MP4";"RUV_data";"Pseudanthias";35723;35724;10;""
"133";133;862;"ES35";"ES35_Left_sd5.R.3.MP4";"RUV_data";"Chromis_fieldi";35721;35721;40;""
"134";134;862;"ES35";"ES35_Left_sd5.R.3.MP4";"RUV_data";"Pseudanthias_evansi";35727;35727;10;""
"135";135;865;"ES35";"ES35_Left_sd5.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";31300;31308;70;""
"136";136;866;"ES35";"ES35_Left_sd5.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";35738;35738;100;""
"137";137;866;"ES35";"ES35_Left_sd5.R.7.MP4";"RUV_data";"Pseudanthias";35740;35740;10;""
