"X.sampling_code";"field_code";"date";"time";"country";"site";"code_site";"longitude";"latitude";"Abiotic_code";"Tide_code";"depth";"technique";"project";"remarks"
"96";"MAJURUV030";"JNS30";"2019-04-15";"13:14:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66031;-16.96341;"JUAN7";"FR_juan_nova_TID_03";21.8;"RUV";"MAPOR";"vidéo remis en bas du petit tombant par Elliott"
"97";"MAJURUV031";"JNS31";"2019-04-15";"13:32:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66016;-16.9625;"JUAN7";"FR_juan_nova_TID_03";28.9;"RUV";"MAPOR";NA
"98";"MAJURUV032";"JNS32";"2019-04-15";"13:49:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65971;-16.96277;"JUAN7";"FR_juan_nova_TID_03";45;"RUV";"MAPOR";NA
"99";"MAJURUV033";"JNS33";"2019-04-15";"14:07:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65925;-16.96203;"JUAN7";"FR_juan_nova_TID_03";70.7;"RUV";"MAPOR";NA
"100";"MAJURUV034";"JNS34";"2019-04-15";"14:23:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66195;-16.96455;"JUAN7";"FR_juan_nova_TID_03";14.4;"RUV";"MAPOR";NA
"101";"MAJURUV035";"JNS35";"2019-04-16";"10:00:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.69738;-17.00949;"JUAN8";"FR_juan_nova_TID_04";10;"RUV";"MAPOR";"posé par Yann"
"102";"MAJURUV036";"JNS36";"2019-04-16";"10:12:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70064;-17.0039;"JUAN8";"FR_juan_nova_TID_04";14.1;"RUV";"MAPOR";"posé par Yann"
"103";"MAJURUV037";"JNS37";"2019-04-16";"10:23:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70315;-16.99641;"JUAN8";"FR_juan_nova_TID_04";14.8;"RUV";"MAPOR";NA
"104";"MAJURUV038";"JNS38";"2019-04-16";"10:34:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70268;-16.99208;"JUAN8";"FR_juan_nova_TID_04";14.3;"RUV";"MAPOR";NA
"105";"MAJURUV039";"JNS39";"2019-04-16";"10:49:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70478;-16.48567;"JUAN8";"FR_juan_nova_TID_04";15;"RUV";"MAPOR";NA
"106";"MAJURUV040";"JNS40";"2019-04-16";"11:03:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70358;-16.97828;"JUAN8";"FR_juan_nova_TID_04";10.4;"RUV";"MAPOR";NA
"107";"MAJURUV041";"JNS41";"2019-04-16";"12:22:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70475;-17.01017;"JUAN9";"FR_juan_nova_TID_04";9.6;"RUV";"MAPOR";NA
"108";"MAJURUV042";"JNS42";"2019-04-16";"12:44:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.7088;-17.00359;"JUAN9";"FR_juan_nova_TID_04";11.5;"RUV";"MAPOR";NA
"109";"MAJURUV043";"JNS43";"2019-04-16";"13:30:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.71042;-16.9966;"JUAN9";"FR_juan_nova_TID_04";18;"RUV";"MAPOR";NA
"110";"MAJURUV044";"JNS44";"2019-04-16";"13:59:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.70871;-16.98982;"JUAN9";"FR_juan_nova_TID_04";18.9;"RUV";"MAPOR";NA
"111";"MAJURUV045";"JNS45";"2019-04-16";"14:23:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.6975;-16.99514;"JUAN9";"FR_juan_nova_TID_04";18.5;"RUV";"MAPOR";NA
"112";"MAJURUV046";"JNS46";"2019-04-16";"14:55:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.69442;-17.00934;"JUAN9";"FR_juan_nova_TID_04";10.8;"RUV";"MAPOR";NA
"113";"MA_CMB_025";"M25";"2019-02-05";"13:53:00";"YT";"Chira_moiba_be";"YT_CMB";44.98468;-12.72454;"NA";"YT_TID_003";8;"rosette";"MAPOR";NA
"114";"MA_CMB_026";"M26";"2019-02-05";"13:57:00";"YT";"Chira_moiba_be";"YT_CMB";44.98384;-12.72448;"NA";"YT_TID_003";20;"rosette";"MAPOR";NA
"115";"MA_CMB_027";"M27";"2019-02-05";"14:01:00";"YT";"Chira_moiba_be";"YT_CMB";44.98363;-12.72448;"NA";"YT_TID_003";38;"rosette";"MAPOR";NA
"116";"MA_CMB_028";"M28";"2019-02-05";"14:05:00";"YT";"Chira_moiba_be";"YT_CMB";44.98323;-12.72446;"NA";"YT_TID_003";63;"rosette";"MAPOR";NA
"117";"MA_CMB_029";"M29";"2019-02-05";"14:12:00";"YT";"Chira_moiba_be";"YT_CMB";44.98285;-12.72429;"NA";"YT_TID_003";80;"rosette";"MAPOR";NA
